n;f;alpha;tle;avg_latency
100;49;0;5;122.60
100;49;0;500;634.20
100;49;0;1000;1139.80
100;49;0;1500;1647.60
100;49;0;2000;2129.40
100;49;0;2500;2600.60
100;49;0;3000;2908.00
100;49;0.1;5;119.80
100;49;0.1;500;546.00
100;49;0.1;1000;1041.00
100;49;0.1;1500;1541.60
100;49;0.1;2000;2040.60
100;49;0.1;2500;2099.60
100;49;0.1;3000;3044.60
100;49;1;5;115.20
100;49;1;500;551.80
100;49;1;1000;1042.00
100;49;1;1500;1539.80
100;49;1;2000;2043.80
100;49;1;2500;2150.40
100;49;1;3000;3040.00
