n;alpha;t_le;latency
80;0.0;20000;20077.9173
80;0.0;20000;20156.4353
80;0.0;20000;20105.8571
80;0.0;20000;20189.9433
80;0.0;20000;1070.6036
80;0.5;20000;20049.2102
80;0.5;20000;6372.1222
80;0.5;20000;20061.6125
80;0.5;20000;4409.7243
80;0.5;20000;7394.7495
80;1.0;20000;12165.2957
80;1.0;20000;20078.9109
80;1.0;20000;20054.2514
80;1.0;20000;10916.0073
80;1.0;20000;2583.9093
90;0.0;20000;10222.0329
90;0.0;20000;2742.563
90;0.0;20000;1566.0813
90;0.0;20000;20088.3555
90;0.0;20000;1696.0887
90;0.10000000149011612;20000;20061.6215
90;0.10000000149011612;20000;6793.3518
90;0.10000000149011612;20000;20057.5048
90;0.10000000149011612;20000;3274.2867
90;0.10000000149011612;20000;8158.6501
90;0.5;20000;20058.5862
90;0.5;20000;20063.9331
90;0.5;20000;5420.3721
90;0.5;20000;10856.2816
90;0.5;20000;4560.1321
90;1.0;20000;12292.6515
90;1.0;20000;12752.0195
90;1.0;20000;20042.2988
90;1.0;20000;9359.2815
90;1.0;20000;1869.7967
100;0.0;20000;19706.5076
80;0.10000000149011612;20000;20033.9433
80;0.10000000149011612;20000;2720.0768
80;0.10000000149011612;20000;373.0604
80;0.10000000149011612;20000;2506.1385
80;0.10000000149011612;20000;9391.4608
80;0.10000000149011612;20000;1458.0324
80;0.10000000149011612;20000;4128.1612
80;0.10000000149011612;20000;20045.3652
80;0.10000000149011612;20000;11760.4228
80;0.10000000149011612;20000;20141.3831
80;0.10000000149011612;20000;4445.9779
80;0.10000000149011612;20000;20066.6323
80;0.10000000149011612;20000;20072.2445
80;0.10000000149011612;20000;13940.6833
100;0.0;50000;48299.6153
100;0.0;50000;12307.0308
100;0.0;50000;46506.2822
100;0.0;50000;25214.471
100;0.0;100000;70805.588
100;0.0;100000;55166.6899
100;0.0;100000;34829.1864
100;0.0;100000;13418.5192
100;0.0;100000;33402.4434
100;0.0;100000;100252.9152
100;0.0;100000;96585.1304
100;0.0;100000;100120.6577
100;0.0;100000;3610.3726
