n;f;alpha;tle;avg_latency
3;0;0;5;18.20
3;0;0;250;14.40
3;0;0;500;15.60
3;0;0;750;16.60
3;0;0;1000;17.00
3;0;0;1250;16.60
3;0;0;1500;14.00
3;0;0;1750;16.60
3;0;0;2000;16.80
3;0;0;2500;15.60
3;0;0;3000;18.40
3;0;0;3500;18.60
3;0;0;4000;20.80
3;0;0.1;5;16.20
3;0;0.1;250;18.00
3;0;0.1;500;18.00
3;0;0.1;750;18.40
3;0;0.1;1000;16.00
3;0;0.1;1250;16.20
3;0;0.1;1500;15.60
3;0;0.1;1750;17.00
3;0;0.1;2000;14.80
3;0;0.1;2500;26.60
3;0;0.1;3000;15.40
3;0;0.1;3500;17.40
3;0;0.1;4000;20.20
3;0;1.0;5;15.60
3;0;1.0;250;17.80
3;0;1.0;500;17.20
3;0;1.0;750;17.40
3;0;1.0;1000;16.20
3;0;1.0;1250;16.80
3;0;1.0;1500;15.20
3;0;1.0;1750;16.00
3;0;1.0;2000;14.60
3;0;1.0;2500;13.60
3;0;1.0;3000;16.80
3;0;1.0;3500;18.60
3;0;1.0;4000;18.80
10;4;0;5;20.60
10;4;0;250;69.20
10;4;0;500;77.60
10;4;0;750;44.40
10;4;0;1000;66.20
10;4;0;1250;40.20
10;4;0;1500;48.40
10;4;0;1750;58.20
10;4;0;2000;44.00
10;4;0;2500;39.60
10;4;0;3000;40.40
10;4;0;3500;53.80
10;4;0;4000;63.20
10;4;0.1;5;25.80
10;4;0.1;250;81.20
10;4;0.1;500;37.80
10;4;0.1;750;71.00
10;4;0.1;1000;58.80
10;4;0.1;1250;61.60
10;4;0.1;1500;55.20
10;4;0.1;1750;58.20
10;4;0.1;2000;69.40
10;4;0.1;2500;55.80
10;4;0.1;3000;59.00
10;4;0.1;3500;86.00
10;4;0.1;4000;40.00
10;4;1.0;5;41.20
10;4;1.0;250;37.80
10;4;1.0;500;38.20
10;4;1.0;750;28.20
10;4;1.0;1000;29.20
10;4;1.0;1250;44.60
10;4;1.0;1500;24.80
10;4;1.0;1750;40.60
10;4;1.0;2000;20.80
10;4;1.0;2500;42.80
10;4;1.0;3000;52.00
10;4;1.0;3500;27.00
10;4;1.0;4000;40.20
25;11;0;5;35.20
25;11;0;250;188.80
25;11;0;500;190.40
25;11;0;750;264.20
25;11;0;1000;242.00
25;11;0;1250;246.80
25;11;0;1500;185.80
25;11;0;1750;217.80
25;11;0;2000;163.20
25;11;0;2500;208.00
25;11;0;3000;214.60
25;11;0;3500;228.20
25;11;0;4000;212.40
25;11;0.1;5;31.00
25;11;0.1;250;191.40
25;11;0.1;500;150.80
25;11;0.1;750;212.60
25;11;0.1;1000;132.40
25;11;0.1;1250;167.60
25;11;0.1;1500;208.00
25;11;0.1;1750;157.80
25;11;0.1;2000;136.00
25;11;0.1;2500;215.40
25;11;0.1;3000;166.20
25;11;0.1;3500;135.20
25;11;0.1;4000;180.60
25;11;1.0;5;30.60
25;11;1.0;250;149.20
25;11;1.0;500;184.60
25;11;1.0;750;178.20
25;11;1.0;1000;230.20
25;11;1.0;1250;172.80
25;11;1.0;1500;189.80
25;11;1.0;1750;132.20
25;11;1.0;2000;211.40
25;11;1.0;2500;162.40
25;11;1.0;3000;206.80
25;11;1.0;3500;144.40
25;11;1.0;4000;204.80
