n;f;alpha;tle;avg_latency
200;99;0.5;5;192.00
200;99;0.6;5;189.40
200;99;0.7;5;167.00
200;99;0.8;5;172.80
200;99;0.9;5;161.60
200;99;1.0;5;183.80
210;104;0;5;229.80
210;104;0.1;5;178.80
210;104;0.2;5;187.60
210;104;0.3;5;195.80
210;104;0.4;5;170.00
210;104;0.5;5;178.80
210;104;0.6;5;176.60
210;104;0.7;5;189.00
210;104;0.8;5;183.80
210;104;0.9;5;189.40
210;104;1.0;5;181.00
220;109;0;5;218.80
220;109;0.1;5;179.80
220;109;0.2;5;187.80
220;109;0.3;5;188.40
220;109;0.4;5;195.40
220;109;0.5;5;181.80
220;109;0.6;5;179.60
220;109;0.7;5;185.20
220;109;0.8;5;199.00
220;109;0.9;5;181.40
220;109;1.0;5;192.20
230;114;0;5;213.40
230;114;0.1;5;179.40
230;114;0.2;5;190.80
230;114;0.3;5;184.20
230;114;0.4;5;190.60
230;114;0.5;5;187.60
230;114;0.6;5;194.00
230;114;0.7;5;204.40
230;114;0.8;5;198.00
230;114;0.9;5;178.00
230;114;1.0;5;181.80
240;119;0;5;210.20
240;119;0.1;5;199.00
240;119;0.2;5;183.20
240;119;0.3;5;203.20
240;119;0.4;5;199.80
240;119;0.5;5;198.40
240;119;0.6;5;198.20
240;119;0.7;5;204.40
240;119;0.8;5;196.00
240;119;0.9;5;211.80
240;119;1.0;5;198.00
250;124;0;5;241.20
250;124;0.1;5;205.60
250;124;0.2;5;190.20
250;124;0.3;5;216.60
250;124;0.4;5;190.20
250;124;0.5;5;192.80
250;124;0.6;5;214.40
250;124;0.7;5;211.20
250;124;0.8;5;202.00
250;124;0.9;5;204.00
250;124;1.0;5;218.60
260;129;0;5;253.40
260;129;0.1;5;216.40
260;129;0.2;5;198.80
260;129;0.3;5;224.20
260;129;0.4;5;204.60
260;129;0.5;5;215.80
260;129;0.6;5;209.60
260;129;0.7;5;210.20
260;129;0.8;5;220.80
260;129;0.9;5;210.60
260;129;1.0;5;218.20
270;134;0;5;246.60
270;134;0.1;5;221.00
270;134;0.2;5;224.20
270;134;0.3;5;213.80
270;134;0.4;5;211.80
270;134;0.5;5;205.80
270;134;0.6;5;216.60
270;134;0.7;5;217.00
270;134;0.8;5;208.60
270;134;0.9;5;212.40
270;134;1.0;5;209.60
280;139;0;5;248.80
280;139;0.1;5;236.20
280;139;0.2;5;229.40
280;139;0.3;5;208.60
280;139;0.4;5;219.20
280;139;0.5;5;219.60
280;139;0.6;5;201.80
280;139;0.7;5;218.00
280;139;0.8;5;223.20
280;139;0.9;5;216.20
280;139;1.0;5;232.00
290;144;0;5;260.40
290;144;0.1;5;223.20
290;144;0.2;5;231.20
290;144;0.3;5;227.80
290;144;0.4;5;219.00
290;144;0.5;5;247.20
290;144;0.6;5;215.00
290;144;0.7;5;213.60
290;144;0.8;5;225.60
290;144;0.9;5;244.00
290;144;1.0;5;224.60
300;149;0;5;293.60
300;149;0.1;5;247.20
300;149;0.2;5;231.40
300;149;0.3;5;250.00
300;149;0.4;5;229.00
300;149;0.5;5;224.40
300;149;0.6;5;227.20
300;149;0.7;5;241.80
300;149;0.8;5;224.00
300;149;0.9;5;230.60
300;149;1.0;5;234.80
310;154;0;5;293.00
310;154;0.1;5;233.20
310;154;0.2;5;236.80
310;154;0.3;5;252.00
310;154;0.4;5;242.40
310;154;0.5;5;253.60
310;154;0.6;5;249.60
310;154;0.7;5;223.60
310;154;0.8;5;244.80
310;154;0.9;5;244.60
310;154;1.0;5;247.20
320;159;0;5;311.60
320;159;0.1;5;245.00
320;159;0.2;5;248.20
320;159;0.3;5;252.00
320;159;0.4;5;232.60
320;159;0.5;5;263.80
320;159;0.6;5;247.20
320;159;0.7;5;251.20
320;159;0.8;5;266.40
320;159;0.9;5;246.00
320;159;1.0;5;251.60
330;164;0;5;339.40
330;164;0.1;5;253.60
330;164;0.2;5;254.60
330;164;0.3;5;243.60
330;164;0.4;5;239.00
330;164;0.5;5;270.40
330;164;0.6;5;250.00
330;164;0.7;5;245.40
330;164;0.8;5;255.20
330;164;0.9;5;251.00
330;164;1.0;5;266.00
340;169;0;5;353.20
340;169;0.1;5;269.80
340;169;0.2;5;266.80
340;169;0.3;5;241.20
340;169;0.4;5;268.80
340;169;0.5;5;262.40
340;169;0.6;5;268.80
340;169;0.7;5;263.20
340;169;0.8;5;279.40
340;169;0.9;5;249.60
340;169;1.0;5;267.00
350;174;0;5;347.40
350;174;0.1;5;271.40
350;174;0.2;5;272.80
350;174;0.3;5;252.00
350;174;0.4;5;274.20
350;174;0.5;5;268.60
350;174;0.6;5;275.40
350;174;0.7;5;271.80
350;174;0.8;5;252.20
350;174;0.9;5;266.40
350;174;1.0;5;261.40
360;179;0;5;324.40
360;179;0.1;5;267.00
360;179;0.2;5;291.00
360;179;0.3;5;275.00
360;179;0.4;5;255.40
360;179;0.5;5;284.60
360;179;0.6;5;278.00
360;179;0.7;5;274.80
360;179;0.8;5;280.00
360;179;0.9;5;297.00
360;179;1.0;5;269.60
370;184;0;5;-3354716.60
370;184;0.1;5;287.00
370;184;0.2;5;285.20
370;184;0.3;5;271.20
370;184;0.4;5;280.40
370;184;0.5;5;283.80
370;184;0.6;5;270.40
370;184;0.7;5;281.60
370;184;0.8;5;290.80
370;184;0.9;5;292.80
370;184;1.0;5;269.20
380;189;0;5;-3399920.20
380;189;0.1;5;305.60
380;189;0.2;5;293.00
380;189;0.3;5;277.80
380;189;0.4;5;284.40
380;189;0.5;5;277.20
380;189;0.6;5;304.60
380;189;0.7;5;281.20
380;189;0.8;5;283.60
380;189;0.9;5;275.60
380;189;1.0;5;316.60
390;194;0;5;427.00
390;194;0.1;5;300.80
390;194;0.2;5;292.40
390;194;0.3;5;302.40
390;194;0.4;5;296.00
390;194;0.5;5;278.80
390;194;0.6;5;305.40
390;194;0.7;5;298.60
390;194;0.8;5;319.40
390;194;0.9;5;296.20
390;194;1.0;5;304.40
400;199;0;5;395.00
400;199;0.1;5;335.00
400;199;0.2;5;311.20
400;199;0.3;5;311.00
400;199;0.4;5;318.00
400;199;0.5;5;313.40
400;199;0.6;5;298.40
400;199;0.7;5;326.40
400;199;0.8;5;308.00
400;199;0.9;5;308.80
400;199;1.0;5;287.00
