n;f;alpha;tle;avg_latency
3;0;0;5;9.80
3;0;0.1;5;8.40
3;0;1;5;12.20
10;4;0;5;16.20
10;4;0.1;5;17.80
10;4;1;5;14.00
25;11;0;5;38.00
25;11;0.1;5;42.00
25;11;1;5;36.00
50;24;0;5;80.40
50;24;0.1;5;66.20
50;24;1;5;75.20
75;36;0;5;108.80
75;36;0.1;5;110.20
75;36;1;5;89.20
100;49;0;5;135.00
100;49;0.1;5;130.60
100;49;1;5;124.20
