n;f;alfa;tle;avg_latency
3;1;0;20;8.80
3;1;0;15;9.60
3;1;0;12;7.80
3;1;0;10;8.20
3;1;0;9;12.00
3;1;0;8;9.00
3;1;0;7;9.40
3;1;0;6;8.00
3;1;0;5;8.20
3;1;0;4;8.80
3;1;0;3;10.00
3;1;0;2;9.60
3;1;0;1;9.20
