n;alpha;t_le;latency
50;0.5;750;620.6243
50;0.5;750;812.7088
50;0.5;750;311.0257
50;0.5;1000;1038.9781
50;0.5;1000;365.2165
50;0.5;1000;887.1594
50;0.5;1000;1039.1709
50;0.5;1000;733.1173
50;0.5;1250;1086.0764
50;0.5;1250;623.1039
50;0.5;1250;264.0661
50;0.5;1250;904.9065
50;0.5;1250;1295.7622
50;0.5;1500;1504.4975
50;0.5;1500;1363.5611
50;0.5;1500;1521.8668
50;0.5;1500;782.1073
50;0.5;1500;639.3667
50;0.5;1750;739.1232
50;0.5;1750;396.5368
50;0.5;1750;1106.5092
50;0.5;1750;655.3536
50;0.5;1750;744.9833
50;0.5;2000;361.6242
50;0.5;2000;499.57
50;0.5;2000;1261.2901
50;0.5;2000;1003.0963
50;0.5;2000;285.6635
50;0.5;2250;1110.4995
50;0.5;2250;723.7338
50;0.5;2250;698.9561
50;0.5;2250;494.7562
50;0.5;2250;589.0998
50;0.5;2500;607.0488
50;0.5;2500;1629.1526
50;0.5;2500;1533.4727
50;0.5;2500;1079.9191
50;0.5;2500;284.4546
50;0.5;2750;1132.377
50;0.5;2750;865.2898
50;0.5;2750;1234.694
50;0.5;2750;312.9086
50;0.5;2750;862.7454
50;0.5;3000;3015.3203
50;0.5;3000;515.6738
50;0.5;3000;1171.6247
50;0.5;3000;891.1065
50;0.5;3000;842.894
50;0.5;3250;683.5759
50;0.5;3250;337.8638
50;0.5;3250;848.3935
50;0.5;3250;1245.9449
50;0.5;3250;845.1963
50;0.5;3500;1669.1848
50;0.5;3500;518.1888
50;0.5;3500;560.9125
50;0.5;3500;552.3074
50;0.5;3500;390.1666
50;0.5;3750;732.2362
50;0.5;3750;825.2048
50;0.5;3750;1108.8612
50;0.5;3750;285.9786
50;0.5;3750;176.2503
50;0.5;4000;395.1608
50;0.5;4000;784.5606
50;0.5;4000;1238.096
50;0.5;4000;318.7183
50;0.5;4000;974.2855
50;0.5;4250;283.6997
50;0.5;4250;974.6071
50;0.5;4250;1428.4931
50;0.5;4250;786.9927
50;0.5;4250;708.6047
50;0.5;4500;1611.4355
50;0.5;4500;283.3078
50;0.5;4500;755.7232
50;0.5;4500;447.9028
50;0.5;4500;1073.3602
50;0.5;4750;546.7846
50;0.5;4750;324.7182
50;0.5;4750;784.4391
50;0.5;4750;1111.067
50;0.5;4750;520.9332
50;0.5;5000;862.0533
50;0.5;5000;1406.1738
50;0.5;5000;337.4493
50;0.5;5000;597.2688
50;0.5;5000;449.4085
50;1.0;0;100.3243
50;1.0;0;49.2186
50;1.0;0;37.5233
50;1.0;0;37.9874
50;1.0;0;62.8718
50;1.0;250;309.0544
50;1.0;250;433.9231
50;1.0;250;250.3357
50;1.0;250;374.2083
50;1.0;250;344.7901
50;1.0;500;256.4758
50;1.0;500;605.6395
50;1.0;500;545.9372
50;1.0;500;612.4879
50;1.0;500;623.4467
50;1.0;750;775.3552
50;1.0;750;666.1452
50;1.0;750;609.4121
50;1.0;750;326.624
50;1.0;750;796.3395
50;1.0;1000;1045.6669
50;1.0;1000;744.8379
50;1.0;1000;612.4673
50;1.0;1000;810.7936
50;1.0;1000;1046.6589
50;1.0;1250;804.1516
50;1.0;1250;1219.5667
50;1.0;1250;261.6256
50;1.0;1250;1122.0838
50;1.0;1250;1332.8248
50;1.0;1500;659.8319
50;1.0;1500;1533.2496
50;1.0;1500;279.9653
50;1.0;1500;1157.6741
50;1.0;1500;274.32
50;1.0;1750;874.4784
50;1.0;1750;897.0214
50;1.0;1750;1141.9257
50;1.0;1750;168.4692
50;1.0;1750;269.2933
50;1.0;2000;669.9796
50;1.0;2000;525.1709
50;1.0;2000;259.9755
50;1.0;2000;244.6675
50;1.0;2000;542.4005
50;1.0;2250;927.6044
50;1.0;2250;622.9438
50;1.0;2250;307.4716
50;1.0;2250;295.0828
50;1.0;2250;664.8836
50;1.0;2500;665.3575
50;1.0;2500;676.2759
50;1.0;2500;457.4939
50;1.0;2500;1381.2618
50;1.0;2500;1162.3481
50;1.0;2750;1100.869
50;1.0;2750;484.4572
50;1.0;2750;904.7997
50;1.0;2750;784.7501
50;1.0;2750;366.3845
50;1.0;3000;836.8808
50;1.0;3000;986.9815
50;1.0;3000;1194.1102
50;1.0;3000;552.752
50;1.0;3000;516.3452
50;1.0;3250;322.8132
50;1.0;3250;328.2964
50;1.0;3250;569.0856
50;1.0;3250;331.1174
50;1.0;3250;301.6356
50;1.0;3500;302.9389
50;1.0;3500;274.6277
50;1.0;3500;325.073
50;1.0;3500;1244.9144
50;1.0;3500;300.1468
50;1.0;3750;390.2966
50;1.0;3750;389.4052
50;1.0;3750;847.8619
50;1.0;3750;605.8139
50;1.0;3750;269.829
50;1.0;4000;825.7002
50;1.0;4000;553.1899
50;1.0;4000;246.6302
50;1.0;4000;480.6137
50;1.0;4000;240.4733
50;1.0;4250;409.442
50;1.0;4250;1106.2191
50;1.0;4250;1158.0791
50;1.0;4250;853.9976
50;1.0;4250;1268.4771
50;1.0;4500;732.8923
50;1.0;4500;756.8379
50;1.0;4500;654.0578
50;1.0;4500;168.0057
50;1.0;4500;390.6863
50;1.0;4750;439.0243
50;1.0;4750;715.0014
50;1.0;4750;312.3408
50;1.0;4750;728.9335
50;1.0;4750;467.4858
50;1.0;5000;646.1193
50;1.0;5000;713.981
